Session ID,Title,Format,Type,Estimated Capacity,Subject/Topic,Sponsor,Start Time,End Time,Room ID,Date
6124,Miguel de Unamuno: Critical Engagements with Embodiment,Panel,Special Sessions,25,Spanish Literature: Twentieth and Twenty-First Centuries,[''],08:30:00,09:45:00,1,1/9
6126,Empire and Environment: Confronting Ecological Ruination in the Asia-Pacific and North America,Panel,Special Sessions,45,American Literature: Twentieth and Twenty-First Centuries,[''],10:15:00,11:30:00,1,1/9
6129,When the Canon Is Not Enough,Roundtable,Forum Sessions,30,Latin American Literature: Latin American Literature,['LLC Colonial Latin American'],08:30:00,09:45:00,2,1/9
6131,Legacies of the Avant-Garde,Roundtable,Forum Sessions,50,American Literature: Twentieth and Twenty-First Centuries,['LLC 20th- and 21st-Century American'],12:00:00,13:15:00,2,1/9
6149,Beyond the Pleasure Principle: A Centenary Roundtable,Roundtable,Forum Sessions,100,Comparative Literature: General,['LLC Victorian and Early-20th-Century English'],08:30:00,09:45:00,8,1/9
6178,Posthumanism and Premodern China,Panel,Forum Sessions,30,Asian Literatures: Asian Literatures,['LLC Pre-14th-Century Chinese'],12:00:00,13:15:00,1,1/9
6180,Translatability and World Literature,Panel,Forum Sessions,50,"Genre, Theory, Method: Translation",['TC Translation Studies'],13:45:00,15:00:00,1,1/9
6181,What Is (Chinese) Poetry?,Panel,Forum Sessions,30,Asian Literatures: Asian Literatures,['LLC Pre-14th-Century Chinese'],15:30:00,16:45:00,1,1/9
6182,Intervenciones feministas en la era digital,Panel,Allied Organizations,50,Comparative Literature: Twentieth and Twenty-First Centuries,['Feministas Unidas'],17:15:00,18:30:00,1,1/9
6183,The Classical Chinese Cosmopolis,Panel,Forum Sessions,30,Asian Literatures: Asian Literatures,['LLC Pre-14th-Century Chinese'],19:00:00,20:15:00,1,1/9
6184,"Rethinking Translation, Origination, Originality",Panel,Forum Sessions,25,"Genre, Theory, Method: Translation",['TC Translation Studies'],08:30:00,09:45:00,9,1/9
6196,Empathy and the Profession of Literature,Panel,Special Sessions,50,"Genre, Theory, Method: Literary Criticism and Theory",[''],12:00:00,13:15:00,10,1/9
6199,Digital Pedagogies for Nineteenth- and Early-Twentieth-Century Literature,Roundtable,Forum Sessions,60,Teaching: Literature,['LLC Victorian and Early-20th-Century English'],10:15:00,11:30:00,2,1/9
6212,Droit de Cité: L’autre en démocratie ou la bataille pour l’égaliberté,Panel,Allied Organizations,20,Francophone Literature: General,['Conseil International d’Études Francophones'],10:15:00,11:30:00,9,1/9
