Session ID,Title,Format,Type,EstSeating,Topic,Sponsor,Cosponsor,Duration
6124,Miguel de Unamuno: Critical Engagements with Embodiment,Panel,Special Sessions,25,Spanish Literature: Twentieth and Twenty-First Centuries,,,75
6126,Empire and Environment: Confronting Ecological Ruination in the Asia-Pacific and North America,Panel,Special Sessions,45,American Literature: Twentieth and Twenty-First Centuries,,,75
6129,When the Canon Is Not Enough,Roundtable,Forum Sessions,30,Latin American Literature: Latin American Literature,LLC Colonial Latin American,,75
6131,Legacies of the Avant-Garde,Roundtable,Forum Sessions,50,American Literature: Twentieth and Twenty-First Centuries,LLC 20th- and 21st-Century American,,75
6149,Beyond the Pleasure Principle: A Centenary Roundtable,Roundtable,Forum Sessions,100,Comparative Literature: General,LLC Victorian and Early-20th-Century English,,75
6178,Posthumanism and Premodern China,Panel,Forum Sessions,30,Asian Literatures: Asian Literatures,LLC Pre-14th-Century Chinese,LLC Ming and Qing Chinese,75
6180,Translatability and World Literature,Panel,Forum Sessions,50,"Genre, Theory, Method: Translation",TC Translation Studies,,75
6181,What Is (Chinese) Poetry?,Panel,Forum Sessions,30,Asian Literatures: Asian Literatures,LLC Pre-14th-Century Chinese,,75
6182,Intervenciones feministas en la era digital,Panel,Allied Organizations,50,Comparative Literature: Twentieth and Twenty-First Centuries,Feministas Unidas,,75
6183,The Classical Chinese Cosmopolis,Panel,Forum Sessions,30,Asian Literatures: Asian Literatures,LLC Pre-14th-Century Chinese,,75
6184,"Rethinking Translation, Origination, Originality",Panel,Forum Sessions,25,"Genre, Theory, Method: Translation",TC Translation Studies,,75
6196,Empathy and the Profession of Literature,Panel,Special Sessions,50,"Genre, Theory, Method: Literary Criticism and Theory",,,75
6199,Digital Pedagogies for Nineteenth- and Early-Twentieth-Century Literature,Roundtable,Forum Sessions,60,Teaching: Literature,LLC Victorian and Early-20th-Century English,,75
6212,Droit de Cité: L’autre en démocratie ou la bataille pour l’égaliberté,Panel,Allied Organizations,20,Francophone Literature: General,Conseil International d’Études Francophones,,75
6215,Contemporary Poets on Wallace Stevens: An Open Conversation,Roundtable,Allied Organizations,40,American Literature: Twentieth and Twenty-First Centuries,Wallace Stevens Society,,75
6216,The Valuation of the Seventy-Three Percent: Contingent Faculty Work and Access to Academic Freedom,Panel,MLA Committees,35,The Profession: General,MLA Committee on Contingent Labor in the Profession,MLA Committee on Academic Freedom and Professional Rights and Responsibilities,75
6219,New Research in Germanic Philology and Linguistics,Panel,Forum Sessions,20,Linguistics: Foreign Languages,LSL Germanic Philology and Linguistics,,75
6229,The Presidential Address,Roundtable,MLA Committees,300,The Profession: General,Presidential Address,,75
6231,Alternative Imaginaries of the Human in Korean Science Fiction,Panel,Forum Sessions,30,Asian Literatures: Asian Literatures,LLC Korean,,75
6232,MLA Delegate Assembly,Workshop,MLA Committees,350,The Profession: General,Delegate Assembly,,75
